term,term_frequency
weißt_VERB,399675
bewusst_VERB,399271
fällt_VERB,394993
jeweils_ADV,394816
treffen_VERB,392148
gingen_VERB,390437
morgen_ADV,387578
laut_ADJ,386692
zweite_ADJ,385972
genauso_ADV,384714
rechts_ADV,382941
ruhig_ADJ,381519
starrte_VERB,381072
braucht_VERB,380170
wenig_ADV,379151
großer_ADJ,376633
setzt_VERB,375688
bringt_VERB,375539
spielen_VERB,373429
anderer_ADJ,371578
griff_VERB,371437
musst_VERB,370542
bekam_VERB,370268
seien_VERB,367064
vorher_ADV,366513
genannt_VERB,364070
lange_ADJ,363970
stieß_VERB,360467
folgte_VERB,360366
erklärt_VERB,359723
schob_VERB,358618
sage_VERB,358167
zuerst_ADV,357227
bloß_ADV,356366
kleiner_ADJ,355732
dennoch_ADV,354617
links_ADV,354280
folgt_VERB,349001
zuckte_VERB,348246
tragen_VERB,346689
wirkte_VERB,345090
könne_VERB,344215
längst_ADV,341690
leid_ADJ,341493
vorbei_ADV,339870
stieg_VERB,339597
mussten_VERB,337875
nach_ADV,337831
folgen_VERB,336927
selber_ADV,333610
selten_ADJ,333287
wartete_VERB,332629
fertig_ADJ,332189
lieber_ADV,328144
sahen_VERB,326720
kurzen_ADJ,326158
offen_ADJ,325305
voll_ADJ,324925
über_ADV,324219
beinahe_ADV,323650
fragt_VERB,322086
leider_ADV,321605
erfolgt_VERB,321281
überall_ADV,320835
gehören_VERB,318773
meine_VERB,318036
kleines_ADJ,316205
hinten_ADV,316069
habt_VERB,315361
egal_ADV,312447
früh_ADJ,312304
essen_VERB,311749
lernen_VERB,311329
dass_ADJ,310856
beginnt_VERB,308894
spät_ADJ,307940
sitzen_VERB,306960
ergibt_VERB,306048
lesen_VERB,306036
befand_VERB,305882
zieht_VERB,305646
hohe_ADJ,305164
suchte_VERB,305157
klang_VERB,303520
ähnlich_ADJ,302722
holte_VERB,302697
ständig_ADJ,302496
glaubte_VERB,301765
gehe_VERB,301720
halb_ADJ,299858
nächste_ADJ,298564
gestern_ADV,294030
gelten_VERB,292630
fest_ADJ,290138
froh_ADJ,286276
nennen_VERB,286186
geführt_VERB,286000
bietet_VERB,285832
durfte_VERB,281997
sprang_VERB,281860
fühlen_VERB,281273
ernst_ADJ,279393
komme_VERB,279115
ließen_VERB,278974
zuletzt_ADV,276357
rechten_ADJ,274293
laufen_VERB,274079
bilden_VERB,273602
legen_VERB,273091
gesamte_ADJ,273048
schrie_VERB,271990
alleine_ADV,271580
stärker_ADJ,269785
größer_ADJ,269736
ergeben_VERB,269320
mache_VERB,268886
seufzte_VERB,267066
verließ_VERB,265805
schöne_ADJ,265560
machten_VERB,265264
weißen_ADJ,264511
schönen_ADJ,264231
wirkt_VERB,263873
rasch_ADJ,263547
gesetzt_VERB,263160
recht_NOUN,262628
erster_ADJ,259187
reichte_VERB,258476
seid_VERB,257946
gezeigt_VERB,257168
innen_ADV,256315
falsch_ADJ,255939
sicher_ADV,255554
soziale_ADJ,255464
nötig_ADJ,254833
trägt_VERB,254183
spielt_VERB,254136
lagen_VERB,253857
kennt_VERB,253544
traf_VERB,250521
legt_VERB,249830
guter_ADJ,249265
gleiche_ADJ,249204
kenne_VERB,247692
tritt_VERB,247133
dunklen_ADJ,247039
schloss_VERB,246795
erfüllt_VERB,246500
bewegen_VERB,245680
mußte_VERB,245203
klein_ADJ,244822
nutzen_VERB,244616
ändern_VERB,244588
finde_VERB,244117
mochte_VERB,243929
grinste_VERB,243527
holen_VERB,242890
gefragt_VERB,242102
müsste_VERB,241847
hart_ADJ,241705
still_ADJ,241409
mitten_ADV,241349
dienen_VERB,241242
kurze_ADJ,240845
erlebt_VERB,240821
gelegt_VERB,239525
neues_ADJ,238654
wirken_VERB,236791
lehnte_VERB,236729
erhob_VERB,236341
gezogen_VERB,235707
rund_ADV,235380
bieten_VERB,235211
stimmt_VERB,235163
treten_VERB,234564
nehme_VERB,234411
freien_ADJ,234373
relativ_ADJ,232662
läßt_VERB,232617
außen_ADV,231635
steckte_VERB,231348
spüren_VERB,230811
schrieb_VERB,230267
liebe_VERB,229112
gewisse_ADJ,227771
großes_ADJ,226926
meint_VERB,225667
inneren_ADJ,225167
enthält_VERB,224830
brauche_VERB,223689
läuft_VERB,223594
leisten_VERB,223515
atmete_VERB,223070
eigenes_ADJ,222758
bemerkt_VERB,222416
gehörte_VERB,221413
trinken_VERB,220835
bestand_VERB,220466
sterben_VERB,219527
reicht_VERB,219448
erwähnt_VERB,218643
desto_ADV,218556
hoffe_VERB,218354
denkt_VERB,216926
ohnehin_ADV,215978
saßen_VERB,215236
lasse_VERB,215178
kalt_ADJ,213650
riss_VERB,213458
dritten_ADJ,213395
spielte_VERB,213196
brach_VERB,213190
nahe_ADJ,212294
neuer_ADJ,211551
deutete_VERB,211428
hängt_VERB,211304
lieber_ADJ,210797
wütend_ADJ,210699
linken_ADJ,210239
tiefer_ADJ,209511
hört_VERB,209310
fing_VERB,208277
größten_ADJ,207817
müsse_VERB,207493
lebt_VERB,207230
übrigen_ADJ,207011
dicht_ADJ,206942
dürfte_VERB,206907
müde_ADJ,203809
frage_VERB,203496
hieß_VERB,203475
beste_ADJ,203022
fehlt_VERB,202299
geboren_VERB,202220
strich_VERB,201579
gutes_ADJ,201154
fühlt_VERB,200991
sitzt_VERB,200892
fanden_VERB,200714
ehrlich_ADJ,200608
nennt_VERB,200545
gebe_VERB,200380
lieben_VERB,199629
gemeint_VERB,198989
höher_ADJ,198959
beugte_VERB,198750
gelernt_VERB,198362
sorgen_VERB,198184
frühen_ADJ,197546
diesmal_ADV,197130
lösen_VERB,196010
roten_ADJ,195973
hilft_VERB,194956
größte_ADJ,194433
öffnen_VERB,194054
blieben_VERB,194033
größere_ADJ,193840
jemals_ADV,193342
vorne_ADV,193138
bildet_VERB,193013
bekommt_VERB,192355
trifft_VERB,191774
fügte_VERB,189247
kaufen_VERB,189223
erkannt_VERB,189048
wahr_ADJ,187488
dient_VERB,186768
hing_VERB,186507
meinst_VERB,186502
handeln_VERB,186493
schauen_VERB,186153
kümmern_VERB,186060
gelesen_VERB,185755
echt_ADJ,185543
innere_ADJ,184897
erhält_VERB,184828
lachen_VERB,183753
hielten_VERB,181885
gelang_VERB,181550
täglich_ADJ,180455
sowieso_ADV,179667
liebte_VERB,179518
starke_ADJ,179219
besitzt_VERB,178615
stolz_ADJ,178540
einst_ADV,178348
schaut_VERB,178000
küsste_VERB,177787
fassen_VERB,176885
lebte_VERB,176124
geschah_VERB,175841
klingt_VERB,175230
absolut_ADJ,174754
offenen_ADJ,174700
weiße_ADJ,174281
genauer_ADJ,174219
dunkel_ADJ,173451
heftig_ADJ,173305
galt_VERB,172808
erlaubt_VERB,172433
erleben_VERB,172304
wolle_VERB,172275
machst_VERB,172196
letzter_ADJ,172185
traurig_ADJ,171830
halte_VERB,171567
merkte_VERB,170638
bewegte_VERB,170497
packte_VERB,169564
starken_ADJ,169347
böse_ADJ,169079
fühle_VERB,168753
warst_VERB,168745
halbe_ADJ,168341
fährt_VERB,167677
retten_VERB,167675
genutzt_VERB,167614
dauerte_VERB,167066
vorn_ADV,166959
hängen_VERB,166192
danke_VERB,165659
breit_ADJ,165580
alter_ADJ,165563
bitten_VERB,165405
löste_VERB,165024
nahmen_VERB,164831
äußerst_ADV,164541
stimmte_VERB,164137
krank_ADJ,164043
anderes_ADJ,163894
möchten_VERB,163843
höheren_ADJ,163579
hoffte_VERB,163544
leise_ADV,163275
benutzt_VERB,162783
geraten_VERB,162620
half_VERB,162438
heiß_ADJ,161759
klopfte_VERB,161144
solle_VERB,160958
erhielt_VERB,160532
warm_ADJ,160416
siehst_VERB,160053
dankbar_ADJ,159105
wußte_VERB,158582
leer_ADJ,157754
sucht_VERB,156694
rannte_VERB,156542
dritte_ADJ,156388
gefällt_VERB,156009
positiv_ADJ,155994
glaubt_VERB,155649
frisch_ADJ,155506
hinüber_ADV,155342
töten_VERB,154757
schwere_ADJ,154681
bedarf_VERB,154530
winkte_VERB,154506
zogen_VERB,154469
höre_VERB,154457
rechte_ADJ,153197
tiefen_ADJ,152927
besaß_VERB,152776
selben_ADJ,152319
bewegt_VERB,152310
mögen_VERB,152226
umso_ADV,151911
blauen_ADJ,151729
dunkle_ADJ,151391
betrat_VERB,151295
weist_VERB,151210
halben_ADJ,151008
schwach_ADJ,150877
scharf_ADJ,150513
rein_ADJ,150321
bezieht_VERB,149708
gleich_ADJ,148746
wussten_VERB,148441
nannte_VERB,147810
wies_VERB,147179
wert_ADJ,147117
dorthin_ADV,146539
ruft_VERB,146490
verlor_VERB,146397
freie_ADJ,145718
schlimm_ADJ,145652
fuhren_VERB,145525
hättest_VERB,145238
ganzes_ADJ,145158
schwieg_VERB,145076
nervös_ADJ,144550
eigener_ADJ,144114
gewählt_VERB,143097
stöhnte_VERB,143032
werfen_VERB,142661
aktiv_ADJ,142549
breiten_ADJ,141533
junger_ADJ,140865
wild_ADJ,140332
total_ADJ,140111
ansehen_VERB,139972
kommst_VERB,139788
gewusst_VERB,139392
derart_ADV,139388
steigt_VERB,139182
normal_ADJ,138677
schwarz_ADJ,137591
rufen_VERB,136966
abends_ADV,136591
älteren_ADJ,136349
betont_VERB,136238
langer_ADJ,136136
erhoben_VERB,136122
kämpfen_VERB,136088
halt_ADV,135893
festen_ADJ,135601
perfekt_ADJ,135518
rote_ADJ,135336
kurzer_ADJ,135294
nahezu_ADV,135076
nett_ADJ,134722
kehrte_VERB,134597
zählen_VERB,134289
passt_VERB,133738
stehe_VERB,133149
schlief_VERB,132885
okay_ADJ,132579
gesucht_VERB,132393
höhere_ADJ,132030
steckt_VERB,132000
schlägt_VERB,130888
raus_ADV,130750
fielen_VERB,130510
tiefe_ADJ,130474
zweimal_ADV,130422
bessere_ADJ,130396
wählen_VERB,130295
beendet_VERB,130104
jung_ADJ,129813
fremden_ADJ,129663
seltsam_ADJ,129602
leiden_VERB,129413
freute_VERB,129306
teilen_VERB,129155
heißen_VERB,129053
oberen_ADJ,129019
grünen_ADJ,128854
bislang_ADV,127713
gefolgt_VERB,127569
wahre_ADJ,127450
freuen_VERB,127399
gelingt_VERB,127381
meldete_VERB,127213
gesund_ADJ,127111
presste_VERB,126747
trocken_ADJ,126525
beträgt_VERB,126380
ewig_ADJ,126238
wartet_VERB,126231
senkte_VERB,126145
liefen_VERB,125879
liebt_VERB,125625
trank_VERB,125209
sanft_VERB,124878
offene_ADJ,124773
recht_ADJ,123817
erfasst_VERB,123730
hoher_ADJ,123691
streng_ADJ,123584
dreht_VERB,123236
erkennt_VERB,123183
dicken_ADJ,122985
folgten_VERB,122513
sinken_VERB,122512
berührt_VERB,122457
geprägt_VERB,122384
gaben_VERB,122326
getötet_VERB,122305
drin_ADV,121890
lautet_VERB,121626
eilte_VERB,120938
zögerte_VERB,120774
gefiel_VERB,120408
umfasst_VERB,120074
setzten_VERB,119958
tauchte_VERB,119557
rechnen_VERB,119505
bezogen_VERB,119132
steigen_VERB,119092
stürzte_VERB,119062
achten_VERB,118668
fester_ADJ,118595
gebeten_VERB,118556
teils_ADV,118463
stecken_VERB,118278
ferner_ADV,118268
starb_VERB,118253
öffnet_VERB,118173
ergriff_VERB,117924
erhöht_VERB,117719
besorgt_ADJ,117593
drang_VERB,117575
schöner_ADJ,117512
rieb_VERB,117364
greift_VERB,117216
wirft_VERB,116469
tätig_ADJ,116315
unteren_ADJ,115898
gebaut_VERB,115859
knapp_ADV,115661
wischte_VERB,115136
sagst_VERB,114681
führten_VERB,114421
aussah_VERB,114234
ältere_ADJ,114159
älter_ADJ,114006
morgens_ADV,113719
dumm_ADJ,113621
hoffen_VERB,113594
richtet_VERB,113533
trafen_VERB,113483
gekauft_VERB,113441
fehlte_VERB,112915
übrig_ADJ,112875
empfand_VERB,112635
falsche_ADJ,112318
vorhin_ADV,111919
verzog_VERB,111657
wohnen_VERB,111609
richten_VERB,111390
stelle_VERB,111145
hebt_VERB,111119
bezahlt_VERB,110779
fliegen_VERB,110653
flog_VERB,110646
drückt_VERB,110637
wahren_ADJ,110076
geliebt_VERB,109690
traten_VERB,109429
harten_ADJ,109422
vollen_ADJ,109340
gelegen_VERB,109192
dauert_VERB,109069
äußeren_ADJ,108968
geplant_VERB,108909
