doute,798856,NOUN,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ
presque,796736,ADVERB,
avez,785517,VERB,
loin,782485,ADVERB,
passer,779142,VERB,
faisait,779027,VERB,3PS;INFLECTED_FORM
peine,773037,NOUN,SINGULAR
fils,769868,NOUN,PLURAL
veux,769236,VERB,FORM_OF;IMP;INFLECTED_FORM
suite,768804,NOUN,SINGULAR
dernier,762236,ADJECTIVE,
chambre,756268,NOUN,SINGULAR
trouve,755852,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SUBJ
compte,751452,NOUN,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ
nombre,734836,NOUN,SINGULAR
mots,724757,NOUN,PLURAL
donner,723315,VERB,
enfin,721611,ADVERB,INTERJECTION,
vais,719671,VERB,
face,718200,NOUN,SINGULAR
nature,709485,NOUN,ADJECTIVE,SINGULAR
cause,707116,NOUN,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ
vrai,705751,ADJECTIVE,NOUN,ADVERB,SINGULAR
tour,699167,NOUN,SINGULAR
guerre,696475,NOUN,SINGULAR
trouver,692549,VERB,
semble,682353,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SUBJ
propre,682222,ADJECTIVE,
sujet,681448,ADJECTIVE,NOUN,SINGULAR
sommes,667920,VERB,NOUN,INFLECTED_FORM;PLURAL;SUBJ
pouvoir,664358,VERB,NOUN,SINGULAR
plan,662810,NOUN,ADJECTIVE,SINGULAR
force,656494,NOUN,ADJECTIVE,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ
sourire,654946,NOUN,VERB,SINGULAR
peur,652240,NOUN,SINGULAR
parfois,645825,ADVERB,
ordre,645403,NOUN,SINGULAR
rapport,641893,NOUN,SINGULAR
bout,639965,NOUN,VERB,3PS;INFLECTED_FORM;SINGULAR
milieu,637356,NOUN,SINGULAR
peux,636712,VERB,
devait,635118,VERB,3PS;INFLECTED_FORM
fond,628385,NOUN,VERB,3PS;INFLECTED_FORM;SINGULAR
veut,624536,VERB,3PS;INFLECTED_FORM
article,623693,NOUN,SINGULAR
reste,619316,NOUN,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ
parents,616688,NOUN,PLURAL
rendre,605185,VERB,
vient,594936,VERB,3PS;INFLECTED_FORM
simple,591503,ADJECTIVE,NOUN,SINGULAR
font,591500,VERB,
laisser,586073,VERB,
travers,584634,NOUN,SINGULAR
belle,584219,ADJECTIVE,NOUN,SINGULAR
