term,term_frequency
membres_NOUN,387411
endroit_NOUN,381928
sein_NOUN,378404
ligne_NOUN,376684
afin_NOUN,376540
bord_NOUN,369204
parce_ADJ,367499
cuisine_NOUN,367340
disait_VERB,367255
beau_ADJ,365959
doigts_NOUN,365829
noir_ADJ,364940
autour_ADJ,361839
signe_NOUN,361301
puisse_VERB,359658
longue_ADJ,356208
libre_ADJ,355995
peuple_NOUN,354789
demande_NOUN,353476
peau_NOUN,352214
blanc_ADJ,351487
devient_VERB,347762
voulu_VERB,343463
parole_NOUN,343445
furent_VERB,341765
vont_VERB,341504
long_NOUN,340247
haut_ADJ,337193
musique_NOUN,336928
justice_NOUN,336580
village_NOUN,335731
seconde_ADJ,335589
soient_VERB,334616
bruit_NOUN,334228
autour_NOUN,333468
livres_NOUN,333388
cour_NOUN,329993
verre_NOUN,329184
juillet_NOUN,328714
mari_NOUN,328603
moindre_ADJ,328274
dessus_NOUN,328268
bonheur_NOUN,328031
filles_NOUN,327838
social_ADJ,327670
propres_ADJ,325093
voyage_NOUN,325080
appel_NOUN,323855
semaine_NOUN,323555
mariage_NOUN,323197
domaine_NOUN,322667
acte_NOUN,322634
perdu_VERB,320413
haut_NOUN,320072
ancien_ADJ,319596
gros_ADJ,319147
jeunes_ADJ,316830
ouvrage_NOUN,316401
chance_NOUN,315705
tenir_VERB,315543
dessus_ADV,315450
culture_NOUN,315321
petites_ADJ,315205
lors_NOUN,315018
visite_NOUN,313038
suivre_VERB,312438
midi_NOUN,311822
avis_NOUN,311501
aura_VERB,311494
douleur_NOUN,311028
entrer_VERB,310998
regarde_VERB,309948
avant_ADV,309504
travaux_NOUN,308637
pleine_ADJ,307415
police_NOUN,307128
absence_NOUN,306973
lieux_NOUN,305416
existe_VERB,305199
moyen_NOUN,304993
rire_VERB,303709
parties_NOUN,303660
jouer_VERB,303443
termes_NOUN,303226
figure_NOUN,303087
formes_NOUN,302833
tomber_VERB,302176
pouvez_VERB,301161
larmes_NOUN,300364
perdre_VERB,300264
moyens_NOUN,299223
devenir_VERB,299127
taille_NOUN,295764
unique_ADJ,294470
garde_NOUN,294176
voie_NOUN,294008
forte_ADJ,293115
porte_VERB,292961
heureux_ADJ,292510
faites_VERB,292404
arrive_VERB,291857
champ_NOUN,290697
lettres_NOUN,290503
contrat_NOUN,289894
public_ADJ,289550
mode_NOUN,289545
charge_NOUN,288719
coin_NOUN,288134
risque_NOUN,287883
carte_NOUN,287691
arriver_VERB,286537
humain_ADJ,286102
environ_ADV,285494
pauvre_ADJ,285401
classe_NOUN,284190
montrer_VERB,283934
quatre_ADJ,283867
seront_VERB,283856
joie_NOUN,283408
janvier_NOUN,283052
paroles_NOUN,282357
geste_NOUN,281797
joue_VERB,281595
aider_VERB,280977
compte_VERB,280642
note_VERB,276850
coups_NOUN,276757
plaisir_NOUN,276363
voulais_VERB,275907
usage_NOUN,275847
leva_VERB,275826
forces_NOUN,275469
points_NOUN,275361
capable_ADJ,275063
partout_ADV,274976
avril_NOUN,274695
second_ADJ,274489
commun_ADJ,274350
aide_VERB,273864
paix_NOUN,273600
public_NOUN,273462
juge_NOUN,272913
octobre_NOUN,272657
avenir_NOUN,272624
sous_NOUN,272251
humaine_ADJ,272204
fini_VERB,271281
point_ADV,271220
rouge_ADJ,271052
mauvais_ADJ,270603
vent_NOUN,270173
connu_VERB,269882
honneur_NOUN,269672
lien_NOUN,269153
devenu_VERB,268024
tient_VERB,266899
jambes_NOUN,265016
vieille_ADJ,264886
tenait_VERB,264557
puis_ADV,264361
mission_NOUN,264098
tout_NOUN,262959
regarda_VERB,262950
nouveau_NOUN,262875
site_NOUN,262401
changer_VERB,262396
facile_ADJ,261140
liste_NOUN,261019
obtenir_VERB,259498
propose_VERB,257962
couleur_NOUN,256267
contact_NOUN,255666
porter_VERB,254521
lire_VERB,254205
avais_VERB,253817
courant_NOUN,253651
reprit_VERB,253150
date_NOUN,253095
objets_NOUN,252947
haute_ADJ,252929
dehors_NOUN,252667
vision_NOUN,252258
poser_VERB,252116
prise_NOUN,251421
raisons_NOUN,251411
manger_VERB,250862
jardin_NOUN,250800
double_ADJ,250314
cher_ADJ,249800
front_NOUN,249659
lecture_NOUN,249521
actions_NOUN,248610
terrain_NOUN,248540
devrait_VERB,248504
venu_VERB,247644
salon_NOUN,247145
revenir_VERB,246951
rend_VERB,246906
effets_NOUN,246627
gestion_NOUN,244664
montre_VERB,244104
pierre_NOUN,243583
groupes_NOUN,243238
quitter_VERB,242510
sentir_VERB,240337
faite_VERB,240302
demain_ADV,240126
proche_ADJ,240033
emploi_NOUN,239197
papier_NOUN,238989
tableau_NOUN,238815
respect_NOUN,238214
voulez_VERB,237678
lois_NOUN,237109
garder_VERB,236463
faute_NOUN,235495
source_NOUN,235113
amie_NOUN,234833
souffle_NOUN,234756
faible_ADJ,234257
mort_ADJ,234129
sentait_VERB,232870
roman_NOUN,232543
vingt_ADJ,231404
servir_VERB,230796
poids_NOUN,229981
faits_NOUN,229902
repas_NOUN,229795
soin_NOUN,228521
images_NOUN,227812
large_ADJ,227441
savais_VERB,226720
valeurs_NOUN,225718
conseil_NOUN,225523
sourit_VERB,225314
ventre_NOUN,225075
vouloir_VERB,224520
biens_NOUN,224180
mourir_VERB,223776
actes_NOUN,223201
style_NOUN,223070
fort_ADV,222075
murs_NOUN,221983
espoir_NOUN,220899
rendu_VERB,220394
maladie_NOUN,219746
cheval_NOUN,219739
analyse_NOUN,219536
nord_NOUN,218459
appelle_VERB,217855
langage_NOUN,217389
armes_NOUN,217226
voyait_VERB,216787
oublier_VERB,216349
animaux_NOUN,216233
crise_NOUN,216204
poste_NOUN,216055
clair_ADJ,215052
robe_NOUN,214183
grave_ADJ,213701
seuls_ADJ,213041
aime_VERB,212641
science_NOUN,212635
