nachdem,206,CONJUNCTION,
demnach,203,ADVERB,TRANSCLUSION
solche,205,PRONOUN,TRANSCLUSION
grünen,199,VERB,ADJECTIVE,NOUN,FORM_OF;INFLECTED_FORM;SINGULAR;TRANSCLUSION
angebot,197,NOUN,SINGULAR;TRANSCLUSION
bevor,194,CONJUNCTION,ADVERB,TRANSCLUSION
nähe,190,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ;TRANSCLUSION
wenigen,188,ADJECTIVE,TRANSCLUSION
ihres,186,DETERMINER,PRONOUN,TRANSCLUSION
länder,184,NOUN,PLURAL;TRANSCLUSION
danach,181,ADVERB,
darum,178,ADVERB,
ließ,174,VERB,3PS;INFLECTED_FORM;PAST;TRANSCLUSION
unser,172,PRONOUN,DETERMINER,TRANSCLUSION
hälfte,173,NOUN,SINGULAR;TRANSCLUSION
fällt,166,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;TRANSCLUSION
großer,164,ADJECTIVE,NOUN,PLURAL;TRANSCLUSION
länger,163,ADJECTIVE,TRANSCLUSION
lösung,163,NOUN,SINGULAR
völlig,161,ADJECTIVE,
euch,159,PRONOUN,TRANSCLUSION
früher,155,ADJECTIVE,ADVERB,TRANSCLUSION
bürger,156,NOUN,PROPER NOUN,SINGULAR;TRANSCLUSION
führte,155,VERB,3PS;FORM_OF;INFLECTED_FORM;PAST;SUBJ;TRANSCLUSION
vorjahr,152,NOUN,SINGULAR;TRANSCLUSION
glück,150,VERB,NOUN,IMP;INFLECTED_FORM;SINGULAR;TRANSCLUSION
jedes,149,PRONOUN,TRANSCLUSION
mein,149,DETERMINER,PRONOUN,TRANSCLUSION
meiner,150,PRONOUN,DETERMINER,TRANSCLUSION
häufig,144,ADJECTIVE,ADVERB,
längst,141,ADVERB,
obwohl,139,CONJUNCTION,
jedem,139,PRONOUN,TRANSCLUSION
zählt,139,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;TRANSCLUSION
gefühl,135,NOUN,SINGULAR;TRANSCLUSION
staffel,135,NOUN,SINGULAR;TRANSCLUSION
köln,135,PROPER NOUN,TRANSCLUSION
zwölf,135,NUMERAL,NOUN,SINGULAR;TRANSCLUSION
unseren,133,PRONOUN,TRANSCLUSION
dadurch,131,ADVERB,
hamas,131,PROPER NOUN,TRANSCLUSION
stück,127,NOUN,SINGULAR;TRANSCLUSION
wären,126,VERB,INFLECTED_FORM;SUBJ;TRANSCLUSION
jemand,125,PRONOUN,TRANSCLUSION
pläne,125,NOUN,PLURAL;TRANSCLUSION
solchen,124,PRONOUN,TRANSCLUSION
fällen,123,VERB,NOUN,PLURAL;TRANSCLUSION
darin,122,ADVERB,
niemand,123,PRONOUN,NOUN,SINGULAR;TRANSCLUSION
ändern,121,VERB,NOUN,SINGULAR;TRANSCLUSION
zölle,120,NOUN,PLURAL;TRANSCLUSION
wobei,120,ADVERB,TRANSCLUSION
hervor,118,ADVERB,
trägt,115,VERB,3PS;INFLECTED_FORM;TRANSCLUSION
drohnen,113,NOUN,PLURAL;TRANSCLUSION
höher,110,ADJECTIVE,TRANSCLUSION
fuß,106,NOUN,SINGULAR;TRANSCLUSION
großes,107,ADJECTIVE,NOUN,SINGULAR;TRANSCLUSION
frühen,106,ADJECTIVE,TRANSCLUSION
gründe,104,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;PLURAL;SUBJ;TRANSCLUSION
weder,105,CONJUNCTION,
hören,104,VERB,NOUN,INF;SINGULAR;TRANSCLUSION
nötig,104,ADJECTIVE,ADVERB,
spaß,103,VERB,NOUN,IMP;INFLECTED_FORM;SINGULAR;TRANSCLUSION
körper,103,NOUN,SINGULAR;TRANSCLUSION
eins,103,NUMERAL,PRONOUN,ADVERB,NOUN,SINGULAR;TRANSCLUSION
früh,103,ADJECTIVE,ADVERB,NOUN,SINGULAR;TRANSCLUSION
grüne,102,ADJECTIVE,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;SINGULAR;SUBJ;TRANSCLUSION
wann,101,ADVERB,CONJUNCTION,TRANSCLUSION
süden,100,NOUN,SINGULAR
höhere,100,ADJECTIVE,TRANSCLUSION
quartal,99,NOUN,SINGULAR;TRANSCLUSION
schön,99,ADJECTIVE,ADVERB,PROPER NOUN,TRANSCLUSION
florian,98,PROPER NOUN,TRANSCLUSION
müller,98,NOUN,PROPER NOUN,SINGULAR;TRANSCLUSION
fälle,96,VERB,NOUN,3PS;FORM_OF;IMP;INFLECTED_FORM;PLURAL;SUBJ;TRANSCLUSION
erhält,95,VERB,3PS;INFLECTED_FORM;TRANSCLUSION
indem,93,CONJUNCTION,TRANSCLUSION
zählen,93,VERB,NOUN,SINGULAR;TRANSCLUSION
davor,92,ADVERB,TRANSCLUSION
